ID,Name,Country of Incorporation,Country of Incorporation,GICS Sector Name,GICS Sector Name
TSI.BK,Thai Setakij Insurance PCL,Thailand,Thailand,Financials,Financials
SCAP.BK,Srisawad Capital 1969 PCL,Thailand,Thailand,Financials,Financials
INSURE.BK,Indara Insurance PCL,Thailand,Thailand,Financials,Financials
KKP.BK,Kiatnakin Phatra Bank PCL,Thailand,Thailand,Financials,Financials
KTB.BK,Krung Thai Bank PCL,Thailand,Thailand,Financials,Financials
MFC.BK,MFC Asset Management PCL,Thailand,Thailand,Financials,Financials
TCAP.BK,Thanachart Capital PCL,Thailand,Thailand,Financials,Financials
NKI.BK,Navakij Insurance PCL,Thailand,Thailand,Financials,Financials
BBL.BK,Bangkok Bank PCL,Thailand,Thailand,Financials,Financials
THRE.BK,Thai Reinsurance PCL,Thailand,Thailand,Financials,Financials
KBANK.BK,Kasikornbank PCL,Thailand,Thailand,Financials,Financials
XPG.BK,Xspring Capital PCL,Thailand,Thailand,Financials,Financials
TTB.BK,TMBThanachart Bank PCL,Thailand,Thailand,Financials,Financials
BYD.BK,Beyond Securities PCL,Thailand,Thailand,Financials,Financials
AEONTS.BK,Aeon Thana Sinsap Thailand PCL,Thailand,Thailand,Financials,Financials
AMANAH.BK,Amanah Leasing PCL,Thailand,Thailand,Financials,Financials
FNS.BK,FNS Holdings PCL,Thailand,Thailand,Financials,Financials
KTC.BK,Krungthai Card PCL,Thailand,Thailand,Financials,Financials
TNITY.BK,Trinity Watthana PCL,Thailand,Thailand,Financials,Financials
THANI.BK,Ratchthani Leasing PCL,Thailand,Thailand,Financials,Financials
MIDA.BK,Mida Assets PCL,Thailand,Thailand,Financials,Financials
TK.BK,Thitikorn PCL,Thailand,Thailand,Financials,Financials
MST.BK,Maybank Securities Thailand PCL,Thailand,Thailand,Financials,Financials
ECL.BK,Eastern Commercial Leasing PCL,Thailand,Thailand,Financials,Financials
ML.BK,Mida Leasing PCL,Thailand,Thailand,Financials,Financials
AFm.BK,Aira Factoring PCL,Thailand,Thailand,Financials,Financials
GBX.BK,Globlex Holding Management PCL,Thailand,Thailand,Financials,Financials
GL.BK,Group Lease PCL,Thailand,Thailand,Financials,Financials
ASK.BK,Asia Sermkij Leasing PCL,Thailand,Thailand,Financials,Financials
ACAPm.BK,Asia Capital Group PCL,Thailand,Thailand,Financials,Financials
UOBKH.BK,UOB Kay Hian Securities Thailand PCL,Thailand,Thailand,Financials,Financials
BLA.BK,Bangkok Life Assurance PCL,Thailand,Thailand,Financials,Financials
MTI.BK,Muang Thai Insurance PCL,Thailand,Thailand,Financials,Financials
TISCO.BK,TISCO Financial Group PCL,Thailand,Thailand,Financials,Financials
LHFG.BK,LH Financial Group PCL,Thailand,Thailand,Financials,Financials
IFS.BK,IFS Capital Thailand PCL,Thailand,Thailand,Financials,Financials
BAM.BK,Bangkok Commercial Asset Management PCL,Thailand,Thailand,Financials,Financials
TLI.BK,Thai Life Insurance PCL,Thailand,Thailand,Financials,Financials
SAWAD.BK,Srisawad Corporation PCL,Thailand,Thailand,Financials,Financials
JMT.BK,JMT Network Services PCL,Thailand,Thailand,Financials,Financials
THREL.BK,Thaire Life Assurance PCL,Thailand,Thailand,Financials,Financials
LITm.BK,Lease IT PCL,Thailand,Thailand,Financials,Financials
AIRAm.BK,Aira Capital PCL,Thailand,Thailand,Financials,Financials
FSMARTm.BK,Forth Smart Service PCL,Thailand,Thailand,Financials,Financials
GCAPm.BK,G Capital PCL,Thailand,Thailand,Financials,Financials
MTC.BK,Muangthai Capital PCL,Thailand,Thailand,Financials,Financials
S11.BK,S 11 Group PCL,Thailand,Thailand,Financials,Financials
CGH.BK,Country Group Holdings PCL,Thailand,Thailand,Financials,Financials
ASNm.BK,ASN Broker PCL,Thailand,Thailand,Financials,Financials
TQM.BK,TQM Alpha PCL,Thailand,Thailand,Financials,Financials
SABUY.BK,Sabuy Technology PCL,Thailand,Thailand,Financials,Financials
TGH.BK,Thai Group Holdings PCL,Thailand,Thailand,Financials,Financials
MICRO.BK,Micro Leasing PCL,Thailand,Thailand,Financials,Financials
SAK.BK,Saksiam Leasing PCL,Thailand,Thailand,Financials,Financials
NCAP.BK,Next Capital PCL,Thailand,Thailand,Financials,Financials
TQRm.BK,TQR PCL,Thailand,Thailand,Financials,Financials
TIDLOR.BK,Ngern Tid Lor PCL,Thailand,Thailand,Financials,Financials
HENG.BK,Heng Leasing and Capital PCL,Thailand,Thailand,Financials,Financials
SCB.BK,SCB X PCL,Thailand,Thailand,Financials,Financials
SGC.BK,SG Capital PCL,Thailand,Thailand,Financials,Financials
CHASE.BK,Chase Asia PCL,Thailand,Thailand,Financials,Financials
TVH.BK,Thaivivat Holdings PCL,Thailand,Thailand,Financials,Financials
CREDIT.BK,Thai Credit Bank PCL,Thailand,Thailand,Financials,Financials
FSX.BK,Finansia X PCL,Thailand,Thailand,Financials,Financials
BKIH.BK,BKI Holdings PCL,Thailand,Thailand,Financials,Financials
KCCm.BK,Knight Club Capital Holding PCL,Thailand,Thailand,Financials,Financials
YKBNK.IS,Yapi ve Kredi Bankasi AS,Turkey,Turkey,Financials,Financials
GRNYO.IS,Garanti Yatirim Ortakligi AS,Turkey,Turkey,Financials,Financials
QNBTR.IS,Qnb Bank AS,Turkey,Turkey,Financials,Financials
TSKB.IS,Turkiye Sinai Kalkinma Bankasi AS,Turkey,Turkey,Financials,Financials
ICBCT.IS,ICBC Turkey Bank AS,Turkey,Turkey,Financials,Financials
KLNMA.IS,Turkiye Kalkinma ve Yatirim Bankasi AS,Turkey,Turkey,Financials,Financials
GARAN.IS,Turkiye Garanti Bankasi AS,Turkey,Turkey,Financials,Financials
VAKFN.IS,Vakif Finansal Kiralama AS,Turkey,Turkey,Financials,Financials
QNBFK.IS,Qnb Finansal Kiralama AS,Turkey,Turkey,Financials,Financials
SAHOL.IS,Haci Omer Sabanci Holding AS,Turkey,Turkey,Financials,Financials
AKBNK.IS,Akbank TAS,Turkey,Turkey,Financials,Financials
ANSGR.IS,Anadolu Anonim Turk Sigorta Sti,Turkey,Turkey,Financials,Financials
SKBNK.IS,Sekerbank TAS,Turkey,Turkey,Financials,Financials
DAGHL.IS,Dagi Yatirim Holding AS,Turkey,Turkey,Financials,Financials
BRYAT.IS,Borusan Yatirim ve Pazarlama AS,Turkey,Turkey,Financials,Financials
ATSYH.IS,Atlantis Yatirim Holding AS,Turkey,Turkey,Financials,Financials
